Dependent Variable,Product,Geography,Variables,Detailed Group,Broad Group,Historical Dep. Variable Sum,Take Rate Elasticity,Base in Latest Week,Life Curve in Latest Week,Life Curve Annual Decay Rate,Historical Spend Full Model Period,Historical Raw Causal Sum Full Model Period,"Historical Causal Sum After Adstocking, Full Model Period",Historical Causal Sum After Adstocking And Curve Applied,Corporate Activity,Coefficient,Driver1,Symmetry,Volume1,Linearity Increment,Linearity Weight,SPEND_A,SPEND_B,SPEND_C,SPEND_D,SUPPORT_A,SUPPORT_B,SUPPORT_C,SUPPORT_D,Media Metric,Start Date_Full_Model,End Date_Full_Model,Spends_Full_Model,Number of Weeks_Full_Model,Total Sales_Full_Model,Total Base Sales_Full_Model,Avg Causal Raw_Full_Model,Execution Weeks_Full_Model,Decomps_Full_Model,MSRP_Full_Model,ST ROI_Full_Model,Elasticity_Full_Model,Start Date_Latest_Year,End Date_Latest_Year,Spends_Latest_Year,Number of Weeks_Latest_Year,Total Sales_Latest_Year,Total Base Sales_Latest_Year,Avg Causal Raw_Latest_Year,Execution Weeks_Latest_Year,Decomps_Latest_Year,MSRP_Latest_Year,ST ROI_Latest_Year,Elasticity_Latest_Year,Start Date_Prior_Year,End Date_Prior_Year,Spends_Prior_Year,Number of Weeks_Prior_Year,Total Sales_Prior_Year,Total Base Sales_Prior_Year,Avg Causal Raw_Prior_Year,Execution Weeks_Prior_Year,Decomps_Prior_Year,MSRP_Prior_Year,ST ROI_Prior_Year,Elasticity_Prior_Year
Sales,Sandero,National,Display Model,DIGITAL,Media,177967,0,1202.363012,1,0,387527,265.5301892,815.2570781,17.1500749,0,44.85163365,0.012010758,2,1,0,0,17792.1513,28045.25544,44206.92806,67023.40706,12.19103005,19.21636939,30.29020939,45.92386584,GRPs,41644,43184,387527,221,177967,159201.2442,1.201494069,9,279.4081901,10214.82626,5.336394808,,42827,43184,12290,52,49848,44512.02318,1.738651729,4,92.80117595,10189.70537,0,,42463,42820,192638,52,46159,42052.8492,1.642417794,2,98.87693699,10192.22273,3.039230525,
Sales,Sandero,National,Magazine Model,PRINT,Media,177967,0,1202.363012,1,0,125701.1774,15,72.70979912,10.63840115,0,13.21667631,0.032148201,2,1,0,0,23906.92495,38033.74424,60508.22947,91626.74748,2.852828284,4.538590451,7.220484809,10.933877,GRPs,41644,43184,125701.1774,221,177967,159201.2442,0.067873303,3,17.85311544,10214.82626,1.368108267,,42827,43184,0,52,49848,44512.02318,0,0,1.003874292,10189.70537,0,,42463,42820,125701.1774,52,46159,42052.8492,0.288461539,3,16.84924115,10192.22273,1.291232122,
Sales,Sandero,National,Radio Model,RADIO,Media,177967,0,1202.363012,1,0,191689.8261,325.033344,650.066688,5.182725514,0,70.33394304,0.003006662,2,1,0,0,44579.38771,70458.10006,111359.6242,168084.3658,74.65951743,118,186.5,281.5,GRPs,41644,43184,191689.8261,221,177967,159201.2442,1.470739113,3,75.95631557,10214.82626,3.798651255,,42827,43184,0,52,49848,44512.02318,0,0,0.001606893,10189.70537,0,,42463,42820,191689.8261,52,46159,42052.8492,6.250641231,3,75.95470868,10192.22273,3.798571143,
Sales,Sandero,National,Search Model,DIGITAL,Media,177967,0,1202.363012,1,0,679827,3.81857184,7.576579599,7.166354669,0,194.7608714,2.577517243,2,1,0,0,12728.28884,24649.85532,38991.58923,58890.74512,0.071494491,0.138457642,0.219014815,0.330787893,GRPs,41644,43184,679827,221,177967,159201.2442,0.017278606,208,355.934,10214.82626,4.988257194,,42827,43184,178287,52,49848,44512.02318,0.021390869,52,120.3847103,10189.70537,6.39044427,,42463,42820,163710,52,46159,42052.8492,0.019361904,52,96.06265761,10192.22273,5.58448033,
Sales,Sandero,National,Social Model,DIGITAL,Media,177967,0,1202.363012,1,0,173204,85.18700992,170.3739955,13.70771573,0,17.73930357,0.045739045,2,1,0,0,10410.09196,16265.76868,25415.26357,37614.59008,5.120000732,8.000001144,12.50000179,18.50000264,GRPs,41644,43184,173204,221,177967,159201.2442,0.385461583,11,76.52581007,10214.82626,3.937308446,,42827,43184,0,52,49848,44512.02318,0,3,4.70245888,10189.70537,3.99003665,,42463,42820,123200,52,46159,42052.8492,0.76731961,4,33.54279854,10192.22273,2.610040546,
Sales,Sandero,National,TV Model,TV,Media,177967,0,1202.363012,1,0,12072904.04,7677.018281,26061.62964,60.5167488,0,174.5493383,0.001834012,2,1,0,0,112964.9148,178812.3393,283042.3298,428037.8276,71.83306627,113.7046723,179.9833025,272.1842414,GRPs,41644,43184,12072904.04,221,177967,159201.2442,34.73763928,51,5203.384553,10214.82626,4.151851781,,42827,43184,1903081,52,49848,44512.02318,23.36608797,8,871.5870733,10189.70537,4.365036098,,42463,42820,2059652,52,46159,42052.8492,26.34580205,8,938.8475215,10192.22273,4.354392921,
Sales,Sandero,National,TV Model Promo,TV,Media,177967,0,1202.363012,1,0,2603322.177,1714.178299,8306.538827,24.86583022,0,94.16942904,0.002382966,2,1,0,0,58819.70732,93081.69172,147300.9936,223145.335,38.7303065,61.29038403,96.99151682,146.9318297,GRPs,41644,43184,2603322.177,221,177967,159201.2442,7.75646289,19,1185.132796,10214.82626,4.329992754,,42827,43184,1313607.478,52,49848,44512.02318,14.81112113,6,521.9358464,10189.70537,3.831270182,,42463,42820,1027825.962,52,46159,42052.8492,14.25,8,552.3124008,10192.22273,5.017514081,
Sales,Sandero,National,Billboards Range Promo,OUTDOOR,Media,177967,0,1202.363012,1,0,841441.6366,327.73,655.4598419,16.69276294,0,2.918463598,0.056363118,2,1,0,0,14776.47036,22164.70554,22164.70554,29552.94072,5.755232948,8.632849423,8.632849423,11.5104659,GRPs,41644,43184,841441.6366,221,177967,159201.2442,1.482941177,98,37.33747663,10214.82626,0.428224619,,42827,43184,184047.2713,52,49848,44512.02318,1.530961539,14,10.03211573,10189.70537,0.529481022,,42463,42820,206751.6195,52,46159,42052.8492,1.494615385,18,8.954959727,10192.22273,0.410215541,
Sales,Sandero,National,DOOH Range Promo,OUTDOOR,Media,177967,0,1202.363012,1,0,616141,616.141,1232.281998,8.900824359,0,22.42593304,0.028742661,2,1,0,0,6649.411662,14776.47036,22164.70554,29552.94072,6.649411662,14.77647036,22.16470554,29.55294072,GRPs,41644,43184,616141,221,177967,159201.2442,2.787968326,3,67.62745994,10214.82626,1.058183299,,42827,43184,616141,52,49848,44512.02318,11.84886538,3,67.62745994,10189.70537,1.058183299,,42463,42820,0,52,46159,42052.8492,0,0,0,10192.22273,0,
Sales,Sandero,National,Display Range Promo,DIGITAL,Media,177967,0,1202.363012,1,0,9405718,12469.69968,42549.85061,43.24876482,0,62.16142958,0.002230361,2,1,0,0,36941.1759,73882.3518,110823.5277,162541.174,48.97503512,97.95007024,146.9251054,215.4901545,GRPs,41644,43184,9405718,221,177967,159201.2442,56.42398046,221,2313.571,10214.82626,2.370150614,,42827,43184,1611968,52,49848,44512.02318,30.72367298,52,197.9950454,10189.70537,1.182869614,,42463,42820,2831091,52,46159,42052.8492,38.08868842,52,270.7294793,10192.22273,0.90753964,
